RC,PMV,TL,DC,time
245.817978098457,0.17444214876033062,32.97775919732471,20,"""2021-03-01T10:02:15.178Z"""
260.8773674275875,0.14014373716632422,33.267019498607404,31,"""2021-03-01T08:22:28.232Z"""
238.11718244878242,0.15291304347826054,32.628985507246384,23,"""2021-03-01T06:42:47.272Z"""
200.75212814004848,-0.03652892561983446,31.420809898762613,23,"""2021-03-01T05:03:03.365Z"""
296.7277390381421,-0.2696701030927835,29.3,48,"""2021-03-01T03:23:19.387Z"""
241.81510685808905,-0.18650420168067325,27.135521557718,40,"""2021-02-28T22:00:22.117Z"""
223.16019249651984,-0.12372795969773344,28.069376391982793,50,"""2021-02-28T18:48:27.338Z"""
223.16019249651984,0.053809924306139754,29.1458136300416,50,"""2021-02-28T15:33:56.482Z"""
234.20693204905902,0.27191752577319644,29.897827298049613,32,"""2021-02-28T12:26:22.803Z"""
239.30446776794454,0.4348541666666682,31.613593314763108,20,"""2021-02-28T10:46:38.833Z"""
256.70900987634894,0.48805327868852566,33.45668711656441,20,"""2021-02-28T09:06:54.918Z"""
184.29767001264247,0.06044989775051112,33.772089136490266,20,"""2021-02-28T05:49:08.967Z"""
212.24454910165665,-0.10969262295081943,32.354793756967545,31,"""2021-02-28T04:09:25.033Z"""
256.024925141662,-0.0950321199143467,30.051114827201797,44,"""2021-02-28T02:29:41.052Z"""
199.66501588353597,-0.37234215885947003,27.72653288740137,50,"""2021-02-27T20:54:58.451Z"""
243.58025489962293,-0.14866722548197794,28.47902411665634,50,"""2021-02-27T19:23:35.683Z"""
243.58025489962293,-0.004823284823284841,28.776991643453197,50,"""2021-02-27T16:11:55.991Z"""
222.76156585779034,0.07574999999999998,29.22964404894302,50,"""2021-02-27T14:28:57.010Z"""
301.2235222890303,-0.06613445378151257,30.861581291759137,60,"""2021-02-27T11:49:23.813Z"""
185.97094349697096,0.29184647302904576,32.71124721603551,26,"""2021-02-27T10:09:36.880Z"""
247.35342605713979,0.2101026694045176,34.381087613293204,32,"""2021-02-27T08:29:46.908Z"""
210.440077738959,-0.1195041322314051,35.286031042128606,70,"""2021-02-27T05:42:58.797Z"""
226.47874202802632,-0.08164926931106478,29.67709030100295,60,"""2021-02-26T13:03:58.122Z"""
296.77111415123153,0.10667377398720672,31.02314578005097,60,"""2021-02-26T11:08:18.742Z"""
202.9870225336278,-0.032139737991266154,30.845956497490423,42,"""2021-02-25T11:18:57.885Z"""
219.34349415143322,-0.021425531914893582,31.89596412556055,42,"""2021-02-25T09:39:15.484Z"""
199.09842595068255,-0.007494824016563156,32.95231455660906,42,"""2021-02-25T07:59:34.497Z"""
199.99375963689656,-0.02450216450216451,33.384040178571276,42,"""2021-02-25T06:19:53.541Z"""
223.264820981215,-0.15100840336134477,31.605800334634754,42,"""2021-02-25T04:40:18.578Z"""
279.3417837598663,-0.010981210855949919,29.69280936454865,42,"""2021-02-25T03:00:40.727Z"""
198.62685560083037,-0.28571129707112924,31.007990314769973,42,"""2021-02-24T11:17:14.921Z"""
190.04895789188905,-0.14449691991786492,33.65643454039011,44,"""2021-02-24T08:35:59.771Z"""
164.25238232027496,-0.07157349896480375,34.157651641624796,20,"""2021-02-24T06:56:15.818Z"""
281.04048166530185,-0.6844969199178644,35.6053333333333,100,"""2021-02-24T05:16:22.962Z"""
150.80968945516838,-0.45772234273318835,31.744557247602845,20,"""2021-02-23T03:27:09.150Z"""
252.09402535783832,-0.12702040816326507,32.122755158951264,42,"""2021-02-21T09:42:57.985Z"""
228.17395344783628,0.07494845360824744,32.7874094707522,20,"""2021-02-21T08:11:35.250Z"""
188.2231534459712,-0.173325942350333,27.689312536105827,41,"""2021-02-20T15:05:32.050Z"""
188.2231534459712,-0.07870317002881823,28.188055739880408,36,"""2021-02-20T13:33:51.941Z"""
161.08130469036163,-0.09566448801742913,32.35934553521908,34,"""2021-02-20T08:19:58.493Z"""
199.97958146435286,-0.49129979035639465,34.033796553641054,47,"""2021-02-20T05:50:38.741Z"""
214.67406214308448,-0.5095426195426214,32.34997220678149,49,"""2021-02-20T04:10:42.790Z"""
198.01595162243743,-0.20143712574850256,29.73322314049576,34,"""2021-02-20T02:30:46.895Z"""
209.11646421328203,-0.18775818639798503,27.024269412746836,32,"""2021-02-19T18:44:16.749Z"""
193.93910646709216,-0.16467961165048595,27.989459007250055,42,"""2021-02-19T15:30:15.872Z"""
194.1577000252515,-0.12420875420875398,28.293124650642927,42,"""2021-02-19T13:50:37.913Z"""
195.27592919767315,-0.24615126050420183,29.78409598214267,42,"""2021-02-19T11:14:40.849Z"""
219.96862383792623,-0.1571118530884818,30.42130507529318,42,"""2021-02-19T09:35:02.889Z"""
156.4644739566167,-0.12677364864864857,29.909502515372225,42,"""2021-02-19T07:55:24.981Z"""
201.52695770397892,-0.4064924114671179,31.01667596207438,42,"""2021-02-19T03:53:41.326Z"""
157.18173881274353,-0.5185570469798683,32.40133630289539,27,"""2021-02-18T04:08:39.425Z"""
131.75759799044638,0.07651741293532341,29.281260457333534,40,"""2021-02-17T14:44:59.640Z"""
131.75759799044638,-0.8,31.04972129319975,40,"""2021-02-17T11:48:56.166Z"""
196.12294972728398,-0.8211335012594491,34.12534818941525,100,"""2021-02-17T06:45:41.282Z"""
162.2542876005375,0.32605289588215675,31.503589315526085,30,"""2021-02-17T03:59:41.077Z"""
162.2542876005375,0.23107836570662962,27.614604402141484,30,"""2021-02-16T20:52:11.643Z"""
162.2542876005375,0.13624579124579114,28.677969882877814,33,"""2021-02-16T17:42:31.968Z"""
192.37494133355062,0.10298821548821518,29.254666666666612,50,"""2021-02-16T15:47:44.716Z"""
200.0673766,0.092062818,33.66486318,60,"""2021-02-16T15:19:05.849Z"""
223.8855293,-0.522935702,32.90035247,100,"""2021-02-16T15:19:04.849Z"""
141.6719041,-0.863624879,32.8728355,100,"""2021-02-16T15:19:03.848Z"""
146.6348623,-1.244707379,32.6128593,100,"""2021-02-16T15:19:02.848Z"""
103.6293719,-1.048220339,31.90570131,100,"""2021-02-16T15:19:01.847Z"""
208.2098016,-1.14073854,31.47838063,100,"""2021-02-16T15:19:00.847Z"""
228.2487499,-1.013112807,30.97231467,100,"""2021-02-16T15:18:59.845Z"""
115.5247207,-1.119542373,30.659375,100,"""2021-02-16T15:18:58.845Z"""
184.5960015,-0.740732723,30.54231537,100,"""2021-02-16T15:18:57.843Z"""
157.2257881,-0.881656805,30.45763994,100,"""2021-02-16T15:18:56.843Z"""
177.3131275,-1.053392706,30.44465726,100,"""2021-02-16T15:18:55.842Z"""
170.1868378,-1.173850721,30.42978294,100,"""2021-02-16T15:18:54.842Z"""
167.0127993,-1.227248095,29.78195565,100,"""2021-02-16T15:18:53.841Z"""
219.7241504,-0.217721297,33.45714286,70,"""2021-02-16T15:18:52.841Z"""
106.440632,-0.631881356,32.93656077,70,"""2021-02-16T15:18:51.841Z"""
146.8172106,-0.163638677,32.51436492,70,"""2021-02-16T15:18:50.839Z"""
126.0466178,-0.213053435,32.32058527,70,"""2021-02-16T15:18:49.841Z"""
145.6413933,-0.626293469,31.71714574,70,"""2021-02-16T15:18:48.837Z"""
157.6443986,-0.248821035,31.41140262,70,"""2021-02-16T15:18:47.836Z"""
194.076908,-0.117737288,31.14422592,70,"""2021-02-16T15:18:46.834Z"""
190.1888264,-0.092688719,31.04044377,70,"""2021-02-16T15:18:45.833Z"""
209.5652329,-0.282470289,30.45481594,70,"""2021-02-16T15:18:44.840Z"""
187.2501968,-0.078039049,30.35136226,70,"""2021-02-16T15:18:43.811Z"""
172.7232435,-0.116711864,29.69036327,70,"""2021-02-16T15:18:42.809Z"""
265.5475399,-0.250415254,29.04619264,70,"""2021-02-16T15:18:41.808Z"""
187.3420219,-0.208872881,28.80993444,70,"""2021-02-16T15:18:40.808Z"""
172.9705208,-0.2635,28.4799294,70,"""2021-02-16T15:18:39.808Z"""
201.2985669,-0.668601695,28.38850806,70,"""2021-02-16T15:18:38.810Z"""
146.2773324,-0.062228814,34.04823589,60,"""2021-02-16T15:18:37.806Z"""
186.5552263,0.328449153,33.61375,60,"""2021-02-16T15:18:36.805Z"""
200.0673766,0.654,33.27571429,60,"""2021-02-16T15:18:35.805Z"""
183.4324163,-0.127241087,31.40358043,60,"""2021-02-16T15:18:34.803Z"""
147.2400378,-0.284067524,29.92759602,57,"""2021-02-16T15:18:33.802Z"""
172.8113214,-0.133285229,34.82511346,50,"""2021-02-16T15:18:32.802Z"""
154.4947906,0.759060773,33.42961622,50,"""2021-02-16T15:18:31.802Z"""
222.3880176,0.146193713,31.29655696,50,"""2021-02-16T15:18:30.800Z"""
176.9626983,-0.102383376,30.62757056,50,"""2021-02-16T15:18:29.802Z"""
176.9083613,-0.093661017,30.55784165,50,"""2021-02-16T15:18:28.799Z"""
167.7258317,-0.237082273,30.11692695,50,"""2021-02-16T15:18:27.799Z"""
242.0328129,0.012663274,29.42802419,50,"""2021-02-16T15:18:26.797Z"""
269.658557,-0.309161017,28.56456653,50,"""2021-02-16T15:18:25.797Z"""
218.0165606,0.130890585,27.89596774,50,"""2021-02-16T15:18:24.796Z"""
143.93416,-0.154584746,27.88002013,50,"""2021-02-16T15:18:23.799Z"""
130.5079844,-0.026327396,27.81376702,50,"""2021-02-16T15:18:22.795Z"""
261.921776,-0.05097479,27.38690176,50,"""2021-02-16T15:18:21.792Z"""
203.485068,-0.020670059,27.10902218,50,"""2021-02-16T15:18:20.791Z"""
259.5975869,0.248671152,33.05947448,40,"""2021-02-16T15:18:19.792Z"""
165.2350455,-0.060619169,27.16479821,30,"""2021-02-16T15:18:18.790Z"""
213.3214448,0.542631579,35.92680412,25,"""2021-02-16T15:18:17.790Z"""
156.8739446,0.17899067,35.15269793,25,"""2021-02-16T15:18:16.790Z"""
158.2277781,0.240288625,34.42421796,25,"""2021-02-16T15:18:15.789Z"""
140.4111173,-0.218161017,33.76129032,25,"""2021-02-16T15:18:14.788Z"""
160.4517593,-0.07320339,33.13242562,25,"""2021-02-16T15:18:13.787Z"""
188.4341102,0.325994876,32.95820293,25,"""2021-02-16T15:18:12.788Z"""
229.6515437,-0.076398305,31.92583249,25,"""2021-02-16T15:18:11.788Z"""
179.4132769,0.083299406,31.87090267,25,"""2021-02-16T15:18:10.785Z"""
143.9069721,0.126963528,31.45418769,25,"""2021-02-16T15:18:09.785Z"""
156.2395583,0.056261682,30.84243189,25,"""2021-02-16T15:18:08.784Z"""
202.9350222,0.134177323,30.6652813,25,"""2021-02-16T15:18:07.783Z"""
202.9350222,0.134177323,30.6652813,25,"""2021-02-16T15:18:06.782Z"""
152.5094641,0.135771186,30.22097832,25,"""2021-02-16T15:18:05.785Z"""
144.6555513,-0.036254237,30.20678918,25,"""2021-02-16T15:18:04.782Z"""
159.5100357,0.182779661,33.82805836,20,"""2021-02-16T15:18:03.781Z"""
168.1136829,0.049864407,33.38317443,20,"""2021-02-16T15:18:02.781Z"""
198.9049491,0.2415,32.544427,20,"""2021-02-16T15:18:01.782Z"""
170.0671611,0.600237288,32.05330347,20,"""2021-02-16T15:18:00.779Z"""
156.0282769,-0.014257846,31.03897925,20,"""2021-02-16T15:17:59.780Z"""
151.54878,0.759780034,30.35170868,20,"""2021-02-16T15:17:58.783Z"""
